id,name,type,price,
0x010,"三日月草","consume",5,
0x011,"半月草","consume",10,
0x012,"後月草","consume",20,
0x013,"満月草","consume",35,
0x014,"新月草","consume",50,
0x020,"香料","consume",10,
0x021,"芳しい香料","consume",30,
0x022,"祝福された香料","consume",60,
0x030,"糧食","food",7,
0x100,"ショートソード","weapon",30,
0x101,"ブロードソード","weapon",46,
0x200,"狩猟弓","weapon",36,
0x300,"レザーアーマー","armor",40,
0x301,"チェインメイル","armor",56,
0x302,"無名騎士の鎧","armor",64,
0x380,"レアルのローブ","armor",44,
0x400,"小生命の指輪","ring",68,
0x401,"蛇印の指輪","ring",78,
0x402,"飽食の指輪","ring",56,
0x403,"生命の指輪","ring",82,
0x500,"千里眼の巻物","scroll",21,
0x600,"ソウルの杖","staff",129,
0x601,"回復の聖鈴","staff",96,
0x602,"跳躍の杖","staff",112,
0x700,"木の矢","ammo",1,
0x701,"鉄の矢","ammo",2,
0x7f0,"胞子","ammo",1,
0x800,"木の矢の束","stack",16,
0x801,"鉄の矢の束","stack",24,
0xf00,"持たざる者の追憶","unique",0,
0xf01,"戦士の追憶","unique",0,
0xf02,"弓兵の追憶","unique",0,
0xf03,"魔術師の追憶","unique",0,
